Erich-Lodemann-Straße,TrKö,O,11,U,mittel * D,,Erlenzeisigweg,Pank,O,13 - 22,F,einfach * D
Erich-Lodemann-Straße,TrKö,O,13 - 19,U,mittel  D,,Erlenzeisigweg,Pank,O,24,F,einfach  D
Erich-Lodemann-Straße,TrKö,O,21,U,mittel * D,,Erlenzeisigweg,Pank,O,27 - 34,F,mittel * D
Erich-Lodemann-Straße,TrKö,O,23 - 29,U,mittel  D,,Ermanstraße,StZe,W,1 - 25,U,gut Z
Erich-Lodemann-Straße,TrKö,O,31,U,mittel * D,,Ermanstraße,StZe,W,12 - 24,G,gut Z
Erich-Lodemann-Straße,TrKö,O,33 - 39,U,mittel  D,,Ermanstraße,StZe,W,26,G,gut * Z
Erich-Lodemann-Straße,TrKö,O,41 - 51,U,mittel * D,,Ermanstraße,StZe,W,27,U,gut * Z
Erich-Lodemann-Straße,TrKö,O,53 - 67,U,mittel  D,,Ermslebener Weg,ChWi,W,,K,mittel * Z
Erich-Lodemann-Straße,TrKö,O,69,U,mittel * D,,Erna-Berger-Straße,Mitt,O,1,U,gut * Z
Erich-Lodemann-Straße,TrKö,O,71 - 77,U,mittel  D,,Erna-Berger-Straße,Mitt,O,3 - 7,U,gut Z
Erich-Lodemann-Straße,TrKö,O,79,U,mittel * D,,Erna-Sack-Straße,Span,O,,K,einfach  D
Erich-Lodemann-Straße,TrKö,O,81 - 85,U,mittel  D,,Erna-Samuel-Straße,Mitt,W,,K,einfach * Z
Erich-Lodemann-Straße,TrKö,O,87,U,mittel * D,,Erndtebrücker Weg,Rein,W,,K,mittel  D
Erich-Lodemann-Straße,TrKö,O,89 - 93,U,mittel  D,,Ernemannzeile,Span,W,,K,einfach  D
Erich-Lodemann-Straße,TrKö,O,95,U,mittel * D,,Ernst-Arndt-Weg,Neuk,W,,K,einfach  D
Erich-Lodemann-Straße,TrKö,O,97 - 123,U,mittel  D,,Ernst-Augustin-Straße,TrKö,O,1 - 11,U,einfach * D
Erich-Lodemann-Straße,TrKö,O,125 - 135,U,mittel * D,,Ernst-Augustin-Straße,TrKö,O,2,G,mittel * D
Erich-Müller-Straße,Lich,O,,K,mittel  D,,Ernst-Augustin-Straße,TrKö,O,12,G,einfach  D
Erich-Nehlhans-Straße,Pank,O,10 - 12,F,mittel Z,,Ernst-Augustin-Straße,TrKö,O,15,U,einfach  D
Erich-Nehlhans-Straße,Pank,O,14,F,mittel * Z,,Ernst-Barlach-Straße,Lich,O,1 - 53,U,mittel * D
Erich-Nehlhans-Straße,Pank,O,17 - 21,F,mittel Z,,Ernst-Barlach-Straße,Lich,O,2 - 6,G,mittel * D
Erich-Nehlhans-Straße,Pank,O,23 - 29,F,mittel * Z,,Ernst-Barlach-Straße,Lich,O,8 - 40,G,mittel  D
Erich-Nehlhans-Straße,Pank,O,30 - 32,F,mittel Z,,Ernst-Barlach-Straße,Lich,O,42 - 56,G,mittel * D
Erich-Steinfurth-Straße,FrKr,O,1 - 2,F,mittel * Z,,Ernst-Bloch-Straße,MaHe,O,2,G,mittel * D
Erich-Steinfurth-Straße,FrKr,O,3 - 10,F,mittel Z,,Ernst-Bloch-Straße,MaHe,O,4 - 34,G,mittel  D
Erich-Thilo-Straße,TrKö,O,,K,einfach  D,,Ernst-Bloch-Straße,MaHe,O,25 - 45,U,mittel  D
Erich-Weinert-Straße,Pank,O,1 - 3,U,mittel * Z,,Ernst-Bruch-Zeile,Span,W,12 - 46,G,einfach  D
Erich-Weinert-Straße,Pank,O,2,G,mittel * Z,,Ernst-Bruch-Zeile,Span,W,15 - 43,U,einfach  D
Erich-Weinert-Straße,Pank,O,4 - 50,G,mittel Z,,Ernst-Bruch-Zeile,Span,W,45,U,einfach * D
Erich-Weinert-Straße,Pank,O,5 - 27,U,mittel Z,,Ernst-Bumm-Weg,ChWi,W,,K,mittel Z
Erich-Weinert-Straße,Pank,O,29 - 37,U,gut Z,,Ernst-Busch-Straße,Pank,O,25,U,mittel * D
Erich-Weinert-Straße,Pank,O,39 - 51,U,mittel Z,,Ernst-Busch-Straße,Pank,O,27 - 29,U,mittel  D
Erich-Weinert-Straße,Pank,O,52,G,mittel * Z,,Ernst-Busch-Straße,Pank,O,30,G,mittel * D
Erich-Weinert-Straße,Pank,O,53 - 55,U,mittel * Z,,Ernst-Busch-Straße,Pank,O,31,U,mittel * D
Erich-Weinert-Straße,Pank,O,57 - 63,U,mittel Z,,Ernst-Fürstenberg-Straße,Pank,O,,K,mittel Z
Erich-Weinert-Straße,Pank,O,64 - 74,G,mittel  D,,Ernst-Grube-Straße,TrKö,O,1 - 7,U,mittel * D
Erich-Weinert-Straße,Pank,O,65 - 87,U,gut  D,,Ernst-Grube-Straße,TrKö,O,4 - 8,G,mittel * D
Erich-Weinert-Straße,Pank,O,76 - 86,G,gut  D,,Ernst-Grube-Straße,TrKö,O,9 - 61,U,mittel  D
Erich-Weinert-Straße,Pank,O,89,U,gut * D,,Ernst-Grube-Straße,TrKö,O,10 - 60,G,mittel  D
Erich-Weinert-Straße,Pank,O,91,U,mittel * D,,Ernst-Haeckel-Straße,MaHe,O,,K,mittel  D
Erich-Weinert-Straße,Pank,O,95 - 101,U,mittel  D,,Ernst-Lange-Straße,Span,O,1 - 9,F,einfach  D
Erich-Weinert-Straße,Pank,O,96 A,G,mittel * D,,Ernst-Lange-Straße,Span,O,10,F,einfach * D
Erich-Weinert-Straße,Pank,O,96 B - 100,G,mittel  D,,Ernst-Lange-Straße,Span,O,11 - 15,F,einfach  D
Erich-Weinert-Straße,Pank,O,103 - 145,U,mittel Z,,Ernst-Lange-Straße,Span,O,16,F,einfach * D
Erich-Weinert-Straße,Pank,O,104 - 124,G,mittel Z,,Ernst-Lange-Straße,Span,O,28,F,einfach  D
Erich-Weinert-Straße,Pank,O,126 - 128,G,mittel * Z,,Ernst-Lange-Straße,Span,O,30,F,einfach * D
Erich-Weinert-Straße,Pank,O,130 - 148,G,mittel Z,,Ernst-Lange-Straße,Span,O,32 - 49,F,einfach  D
Erich-Weinert-Straße,Pank,O,150,G,mittel * Z,,Ernst-Lau-Straße,TrKö,O,,K,einfach  D
Erieseering,Lich,O,4 - 38,G,mittel  D,,Ernst-Lemmer-Ring,StZe,W,,K,mittel  D
Erieseering,Lich,O,7 - 35,U,mittel  D,,Ernst-Ludwig-Heim-Straße,Pank,O,,K,einfach  D
Erieseering,Lich,O,40,G,mittel * D,,Ernst-Reinke-Straße,Lich,O,,K,mittel Z
Erikastraße,TrKö,O,,K,mittel  D,,Ernst-Reuter-Platz,ChWi,W,,K,mittel * Z
Erkelenzdamm,FrKr,W,1 - 31,U,einfach Z,,Ernst-Reuter-Siedlung,Mitt,W,1,F,einfach * Z
Erkelenzdamm,FrKr,W,33 - 35,U,einfach * Z,,Ernst-Reuter-Siedlung,Mitt,W,2 - 4,F,einfach Z
Erkelenzdamm,FrKr,W,45 - 69,U,einfach Z,,Ernst-Reuter-Siedlung,Mitt,W,5 - 6,F,einfach * Z
Erknerstraße,TrKö,O,2 - 16,G,mittel * D,,Ernst-Reuter-Siedlung,Mitt,W,7 - 20,F,einfach Z
Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7,,Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7
Ernst-Ring-Straße,StZe,W,1 - 7 A,U,gut  D,,Eschersheimer Straße,TSch,W,6 - 8,G,einfach * D
Ernst-Ring-Straße,StZe,W,2 - 10,G,gut  D,,Eschersheimer Straße,TSch,W,10 - 34,G,einfach  D
Ernst-Ring-Straße,StZe,W,9 - 11,U,gut * D,,Eschersheimer Straße,TSch,W,36,G,einfach * D
Ernst-Ring-Straße,StZe,W,12 - 14,G,gut * D,,Eschwegering,TSch,W,3 - 31,U,mittel Z
Ernstroder Weg,MaHe,O,2 - 4,G,mittel  D,,Eschwegering,TSch,W,4 - 16,G,mittel Z
Ernstroder Weg,MaHe,O,3 - 11 A,U,mittel  D,,Eschwegering,TSch,W,33,U,mittel * Z
Ernstroder Weg,MaHe,O,6,G,mittel * D,,Esmarchstraße,Pank,O,,K,gut Z
Ernstroder Weg,MaHe,O,8 - 14,G,mittel  D,,Esplanade,Pank,O,1 - 3,U,mittel * Z
Ernst-Ruska-Ufer,TrKö,O,,K,einfach * D,,Esplanade,Pank,O,2 - 12,G,mittel Z
Ernststraße,Rein,W,1 - 3,U,einfach * Z,,Esplanade,Pank,O,5 - 25,U,mittel Z
Ernststraße,Rein,W,2 - 12,G,einfach Z,,Esplanade,Pank,O,24 - 30 C,G,mittel  D
Ernststraße,Rein,W,3 A - 7,U,einfach Z,,Esplanade,Pank,O,32 - 40,G,gut  D
Ernststraße,Rein,W,9 - 21,U,einfach * Z,,Esplanade,Pank,O,33 - 43 A,U,mittel  D
Ernststraße,Rein,W,14,G,einfach * Z,,Esplanade,Pank,O,42,G,gut * D
Ernststraße,Rein,W,14 A,G,einfach Z,,Esplanade,Pank,O,44 - 46,G,gut  D
Ernststraße,Rein,W,14 B,G,einfach * Z,,Esplanade,Pank,O,45 - 47,U,mittel * D
Ernststraße,Rein,W,20 - 50,G,einfach  D,,Esplanade,Pank,O,48,G,gut * D
Ernststraße,Rein,W,23,U,einfach Z,,Esplanade,Pank,O,49 - 49 A,U,mittel  D
Ernststraße,Rein,W,27 - 41,U,einfach  D,,Esplanade,Pank,O,49 B - 65,U,mittel * D
Ernststraße,Rein,W,47 - 53 B,U,einfach * D,,Essener Straße,Mitt,W,2 - 31 B,F,gut Z
Ernststraße,Rein,W,52 - 54,G,einfach * D,,Essener Straße,Mitt,W,32,F,gut * Z
Ernststraße,Rein,W,55 - 97,U,einfach  D,,Essenplatz,TrKö,O,1 - 12,F,mittel Z
Ernststraße,Rein,W,56 - 96,G,einfach  D,,Essenplatz,TrKö,O,13,F,mittel * Z
Ernststraße,TrKö,O,1,U,mittel * D,,Essenplatz,TrKö,O,14 - 18,F,mittel Z
Ernststraße,TrKö,O,2,G,mittel * D,,Estersstraße,TSch,W,1 - 3,U,einfach  D
Ernststraße,TrKö,O,3 - 25,U,mittel  D,,Estersstraße,TSch,W,2 - 4,G,einfach * D
Ernststraße,TrKö,O,4 - 26,G,mittel  D,,Estersstraße,TSch,W,6 - 62,G,einfach  D
Ernst-Ziesel-Straße,TrKö,O,,K,einfach  D,,Estragonweg,Pank,O,,K,einfach  D
Ernst-Zinna-Weg,FrKr,O,,K,mittel Z,,Etkar-André-Straße,MaHe,O,2,G,mittel * D
Erntedankweg,MaHe,O,2 - 4,G,mittel * D,,Etkar-André-Straße,MaHe,O,4 - 8,G,mittel  D
Erntedankweg,MaHe,O,6 - 24,G,mittel  D,,Etkar-André-Straße,MaHe,O,5 - 23,U,mittel  D
Erntedankweg,MaHe,O,26 - 48,G,mittel * D,,Ettaler Straße,ChWi,W,2,G,gut * Z
Erpetaler Weg,TrKö,O,,K,mittel  D,,Ettaler Straße,ChWi,W,4 - 12 A,G,gut Z
Erpeweg,TrKö,O,,K,mittel  D,,Ettaler Straße,TSch,W,1,U,gut * Z
Ersteiner Straße,StZe,W,,K,gut  D,,Ettaler Straße,TSch,W,3 - 13,U,gut Z
Erwin-Bennewitz-Weg,TrKö,O,,K,mittel  D,,Ettenheimer Pfad,Rein,W,,K,einfach  D
Erwin-Bock-Straße,TrKö,O,,K,mittel  D,,Ettersburger Weg,Pank,O,,K,einfach  D
Erwinstraße,MaHe,O,,K,mittel  D,,Etzelstraße,Pank,O,,K,mittel  D
Erxlebenstraße,TrKö,O,,K,mittel  D,,Eugen-Bolz-Kehre,Neuk,W,1 - 5,U,einfach * D
Eschachstraße,Rein,W,58 - 60,G,mittel Z,,Eugen-Bolz-Kehre,Neuk,W,2 - 14,G,einfach  D
Eschachstraße,Rein,W,62 - 68,G,mittel * Z,,Eugen-Roth-Weg,MaHe,O,1 A - 21,U,mittel  D
Eschachstraße,Rein,W,70 - 72,G,mittel Z,,Eugen-Roth-Weg,MaHe,O,4 - 10,G,mittel Z
Eschelberger Weg,MaHe,O,,K,einfach  D,,Eugen-Roth-Weg,MaHe,O,18,G,mittel  D
Eschenallee,ChWi,W,1,U,gut * D,,Eugen-Roth-Weg,MaHe,O,20,G,mittel * D
Eschenallee,ChWi,W,1 A - 13 A,U,gut  D,,Eugen-Roth-Weg,MaHe,O,22,G,mittel  D
Eschenallee,ChWi,W,2,G,gut * D,,Eugen-Roth-Weg,MaHe,O,24,G,mittel * D
Eschenallee,ChWi,W,2 A - 14,G,gut  D,,Eugen-Schönhaar-Straße,Pank,O,1,U,mittel * Z
Eschenallee,ChWi,W,15 - 29,U,gut Z,,Eugen-Schönhaar-Straße,Pank,O,2,G,mittel * Z
Eschenallee,ChWi,W,16 - 34,G,gut Z,,Eugen-Schönhaar-Straße,Pank,O,3 - 25,U,mittel Z
Eschenallee,ChWi,W,31,U,gut * Z,,Eugen-Schönhaar-Straße,Pank,O,4 - 30,G,mittel Z
Eschenallee,ChWi,W,31 A - 33 A,U,gut Z,,Eulenweg,Neuk,W,,K,einfach  D
Eschenallee,ChWi,W,36,G,gut * Z,,Eulerstraße,Mitt,W,,K,einfach Z
Eschenallee,Pank,O,,K,einfach  D,,Eupener Straße,Pank,O,,K,mittel  D
Eschenbachstraße,TrKö,O,1,F,mittel * D,,EUREF-Campus,TSch,W,1 - 9,F,mittel * Z
Eschenbachstraße,TrKö,O,2 - 7,F,mittel  D,,EUREF-Campus,TSch,W,10 - 24,F,mittel Z
Eschenbachstraße,TrKö,O,8,F,mittel * D,,EUREF-Campus,TSch,W,25,F,mittel * Z
Eschengraben,Pank,O,1 - 45,U,mittel Z,,Europaplatz,Mitt,W,,K,mittel * Z
Eschengraben,Pank,O,10 - 42,G,mittel Z,,Eutinger Weg,Rein,W,1 - 9,U,mittel  D
Eschengraben,Pank,O,44,G,mittel * D,,Eutinger Weg,Rein,W,2,G,mittel * D
Eschengraben,Pank,O,46 - 56,G,mittel  D,,Eutinger Weg,Rein,W,4 - 10,G,mittel  D
Eschengraben,Pank,O,47 - 143,U,mittel  D,,Evastraße,TSch,W,,K,gut Z
Eschenstraße,MaHe,O,1 - 13 A,F,mittel  D,,Ewaldstraße,TrKö,O,1 - 11,U,mittel * D
Eschenstraße,MaHe,O,14 - 26,F,einfach  D,,Ewaldstraße,TrKö,O,4 - 64,G,mittel  D
Eschenstraße,MaHe,O,50 - 50 A,F,mittel  D,,Ewaldstraße,TrKö,O,13,U,mittel  D
Eschenstraße,TSch,W,,K,gut Z,,Ewaldstraße,TrKö,O,15 - 17,U,mittel * D
Eschenweg,Span,W,,K,mittel  D,,Ewaldstraße,TrKö,O,19,U,mittel  D
Eschenwinkel,Span,W,,K,einfach  D,,Ewaldstraße,TrKö,O,21,U,mittel * D
Eschershauser Weg,StZe,W,1,U,gut * D,,Ewaldstraße,TrKö,O,23 - 33,U,mittel  D
Eschershauser Weg,StZe,W,3 - 29 L,U,gut  D,,Ewaldstraße,TrKö,O,35,U,mittel * D
Eschershauser Weg,StZe,W,29 M,U,gut * D,,Ewaldstraße,TrKö,O,37,U,mittel  D
Eschersheimer Straße,Neuk,W,1,U,einfach * D,,Ewaldstraße,TrKö,O,39 - 51,U,mittel * D
Eschersheimer Straße,Neuk,W,7 - 55,U,einfach  D,,Ewaldstraße,TrKö,O,53,U,mittel  D
Eschersheimer Straße,TSch,W,2,G,einfach * D,,Ewaldstraße,TrKö,O,55 - 125,U,mittel * D
Eschersheimer Straße,TSch,W,4,G,einfach  D,,Ewaldstraße,TrKö,O,66,G,mittel * D
Straßenname1,Bezirk2,G3 Hausnr.4,,B5,WL6 WL7,,Straßenname1,Bezirk2,G3 Hausnr.4,,B5,WL6 WL7
Ewaldstraße,TrKö,O 70,- 88 C,G,mittel  D,,Falkenberger Chaussee,Lich,O 56,- 68,G,mittel  D
Ewaldstraße,TrKö,O 88 D,- 98 B,G,mittel * D,,Falkenberger Chaussee,Lich,O 70,- 80,G,mittel * D
Ewaldstraße,TrKö,O 100,- 102,G,mittel  D,,Falkenberger Chaussee,Lich,O 95,,U,mittel  D
Ewaldstraße,TrKö,O 104,- 106 A,G,mittel * D,,Falkenberger Chaussee,Lich,O 97,- 141,U,mittel * D
Ewaldstraße,TrKö,O 106 B,,G,mittel  D,,Falkenberger Chaussee,Lich,O 110,- 142,G,mittel  D
Ewaldstraße,TrKö,O 108,- 108 C,G,mittel * D,,Falkenberger Straße,Pank,O 1 A,,F,mittel * D
Ewaldstraße,TrKö,O 110,- 126,G,mittel  D,,Falkenberger Straße,Pank,O 1 B,- 1 E,F,mittel  D
Ewaldstraße,TrKö,O 130,- 144,G,mittel * D,,Falkenberger Straße,Pank,O 1 F,- 1 G,F,mittel * D
Ewaldstraße,TrKö,O 146,- 154,G,mittel  D,,Falkenberger Straße,Pank,O 2,- 38,F,mittel  D
Ewaldstraße,TrKö,O 156,,G,mittel * D,,Falkenberger Straße,Pank,O 39,,F,mittel * D
Ewaldstraße,TrKö,O 158,- 176,G,mittel  D,,Falkenberger Straße,Pank,O 40,- 48,F,mittel  D
Ewaldstraße,TrKö,O 178,- 182,G,mittel * D,,Falkenberger Straße,Pank,O 49,- 50 A,F,mittel * D
Ewaldstraße,TrKö,O 184,,G,mittel  D,,Falkenberger Straße,Pank,O 50 B,- 52,F,mittel  D
Ewaldstraße,TrKö,O 186,- 190,G,mittel * D,,Falkenberger Straße,Pank,O 53,,F,mittel * D
Eweststraße,Pank,O 3,,U,mittel * D,,Falkenberger Straße,Pank,O 136,,F,mittel  D
Eweststraße,Pank,O 5,- 21,U,mittel  D,,Falkenberger Straße,Pank,O 137,,F,mittel * D
Eweststraße,Pank,O 12,- 22,G,mittel  D,,Falkenberger Straße,Pank,O 138,- 185,F,mittel  D
Exerzierstraße,Mitt,W 1,- 29,U,einfach * Z,,Falkenberger Straße,Pank,O 186,- 190,F,mittel * D
Exerzierstraße,Mitt,W 2,- 32,G,einfach * Z,,Falkenbrunnstraße,TrKö,O 1,- 37,U,mittel  D
Exerzierstraße,Mitt,W 31,- 33,U,einfach Z,,Falkenbrunnstraße,TrKö,O 2,- 38,G,mittel  D
Exerzierstraße,Mitt,W 32 A,- 34,G,einfach Z,,Falkenbrunnstraße,TrKö,O 39,- 41,U,mittel * D
Exiner Straße,Neuk,W,,K,mittel  D,,Falkenbrunnstraße,TrKö,O 40,,G,mittel * D
Eyke-von-Repkow-Platz,Mitt,W,,K,mittel Z,,Falkenbrunnstraße,TrKö,O 42,- 50 A,G,mittel  D
Eylauer Straße,FrKr,W 2,- 13,F,mittel Z,,Falkenbrunnstraße,TrKö,O 43,- 49,U,mittel  D
Eylauer Straße,FrKr,W 14,,F,mittel * Z,,Falkenbrunnstraße,TrKö,O 50 B,- 50 C,G,mittel * D
Eylauer Straße,FrKr,W 15,- 26,F,mittel Z,,Falkenbrunnstraße,TrKö,O 51,- 55,U,mittel * D
Eythstraße,TSch,W,,K,mittel  D,,Falkenbrunnstraße,TrKö,O 52,- 52 F,G,mittel  D
"",,,,,,,Falkenbrunnstraße,TrKö,O 52 G,- 52 H,G,mittel * D
F,,,,,,,Falkenbrunnstraße,TrKö,O 54,- 54 D,G,mittel  D
Fabeckstraße,StZe,W 5,- 53,U,gut  D,,Falkenbrunnstraße,TrKö,O 54 E,- 54 H,G,mittel * D
Fabeckstraße,StZe,W 8,- 52,G,gut  D,,Falkenbrunnstraße,TrKö,O 56,- 56 D,G,mittel  D
Fabeckstraße,StZe,W 53 A,- 55,U,gut * D,,Falkenbrunnstraße,TrKö,O 56 E,- 64,G,mittel * D
Fabeckstraße,StZe,W 54,,G,gut * D,,Falkendamm,TrKö,O,,K,mittel  D
Fabeckstraße,StZe,W 57,- 83,U,gut  D,,Falkenhagener Straße,Span,W 1,,F,einfach * D
Fabeckstraße,StZe,W 62,,G,gut  D,,Falkenhagener Straße,Span,W 2,- 67,F,einfach  D
Fabeckstraße,StZe,W 85,,U,gut * D,,Falkenhausenweg,StZe,W 1,- 45,U,einfach  D
Fabriciusstraße,ChWi,W,,K,mittel Z,,Falkenhausenweg,StZe,W 14,- 74 A,G,mittel  D
Fachinger Straße,Span,O,,K,einfach  D,,Falkenhausenweg,StZe,W 47,- 75 A,U,mittel  D
Fafnerstraße,Pank,O 12,- 14,G,mittel * D,,Falkenhorststraße,Rein,W,,K,mittel  D
Fafnerstraße,Pank,O 16,- 20 A,G,mittel  D,,Falkenplatz,Rein,W 1,- 3,U,mittel * D
Fafnerstraße,Pank,O 22,,G,mittel * D,,Falkenplatz,Rein,W 2,,G,mittel  D
Fafnerstraße,Pank,O 22 A,- 46,G,mittel  D,,Falkenplatz,Rein,W 3 A,- 9 A,U,mittel  D
Fafnerstraße,Pank,O 23,- 35,U,einfach * D,,Falkenplatz,Rein,W 6,,G,mittel * D
Fafnerstraße,Pank,O 37,- 41,U,einfach  D,,Falkenplatz,Rein,W 10,,G,mittel  D
Fafnerstraße,Pank,O 43,- 43 A,U,einfach * D,,Falkenried,StZe,W,,K,gut  D
Fafnerstraße,Pank,O 48,,G,mittel * D,,Falkenseer Chaussee,Span,W 8,- 77 A,F,einfach * D
Fagottstraße,Pank,O,,K,einfach  D,,Falkenseer Chaussee,Span,W 77 B,,F,einfach  D
Fähenweg,TrKö,O,,K,mittel  D,,Falkenseer Chaussee,Span,W 77 C,- 78 A,F,einfach * D
Fahlenbergstraße,TrKö,O,,K,mittel  D,,Falkenseer Chaussee,Span,W 79,- 80,F,mittel * D
Fählmannweg,Span,W,,K,gut  D,,Falkenseer Chaussee,Span,W 80 A,,F,mittel  D
Fährallee,TrKö,O,,K,einfach  D,,Falkenseer Chaussee,Span,W 81,- 82,F,mittel * D
Fahremundstraße,Span,W 4,- 42,G,mittel  D,,Falkenseer Chaussee,Span,W 115,- 163,F,einfach * D
Fahremundstraße,Span,W 9,- 35,U,mittel  D,,Falkenseer Chaussee,Span,W 163 A,,F,einfach  D
Fahremundstraße,Span,W 37,- 69,U,einfach  D,,Falkenseer Chaussee,Span,W 164,,F,einfach * D
Fahremundstraße,Span,W 44,- 68,G,einfach  D,,Falkenseer Chaussee,Span,W 164 A,- 169,F,einfach  D
Fahremundstraße,Span,W 71,,U,einfach * D,,Falkenseer Chaussee,Span,W 170,- 174,F,einfach * D
Fahrenheitstraße,StZe,W,,K,einfach  D,,Falkenseer Chaussee,Span,W 174 A,- 174 D,F,einfach  D
Fahrlander Weg,Span,O 1,- 1 H,F,einfach * D,,Falkenseer Chaussee,Span,W 175,,F,einfach * D
Fahrlander Weg,Span,O 1 J,- 89,F,einfach  D,,Falkenseer Chaussee,Span,W 175 A,- 175 E,F,einfach  D
Fährstraße,Rein,W 1,,F,mittel * D,,Falkenseer Chaussee,Span,W 176,- 176 B,F,einfach * D
Fährstraße,Rein,W 3,- 36,F,mittel  D,,Falkenseer Chaussee,Span,W 176 C,,F,einfach  D
Falckensteinstraße,FrKr,W 1,- 4,F,einfach * Z,,Falkenseer Chaussee,Span,W 177,,F,einfach * D
Falckensteinstraße,FrKr,W 5,- 43,F,einfach Z,,Falkenseer Chaussee,Span,W 191,- 204,F,mittel * D
Falckensteinstraße,FrKr,W 43 A,- 49,F,einfach * Z,,Falkenseer Chaussee,Span,W 204 A,,F,mittel  D
Falckensteinstraße,TSch,W,,K,mittel  D,,Falkenseer Chaussee,Span,W 205,- 207,F,mittel * D
Falkenberger Chaussee,Lich,O 1,- 5,U,mittel  D,,Falkenseer Chaussee,Span,W 207 A,,F,mittel  D
Falkenberger Chaussee,Lich,O 4,- 4 B,G,mittel * D,,Falkenseer Chaussee,Span,W 208,- 210,F,mittel * D
Falkenberger Chaussee,Lich,O 4 C,- 4 G,G,mittel  D,,Falkenseer Chaussee,Span,W 210 A,,F,mittel  D
Falkenberger Chaussee,Lich,O 4 H,,G,mittel * D,,Falkenseer Chaussee,Span,W 212,- 214,F,mittel * D
Falkenberger Chaussee,Lich,O 6,- 6 B,G,mittel  D,,Falkenseer Chaussee,Span,W 214 A,,F,mittel  D
Falkenberger Chaussee,Lich,O 7,- 93,U,mittel * D,,Falkenseer Chaussee,Span,W 215,,F,einfach  D
Falkenberger Chaussee,Lich,O 8,- 20,G,mittel * D,,Falkenseer Chaussee,Span,W 216,,F,einfach * D
Falkenberger Chaussee,Lich,O 22,- 44,G,mittel  D,,Falkenseer Chaussee,Span,W 216 A,- 216 D,F,einfach  D
Falkenberger Chaussee,Lich,O 46,- 54,G,mittel * D,,Falkenseer Chaussee,Span,W 217,- 218,F,einfach * D
Straßenname1,Bezirk2,G3 Hausnr.4,,B5,WL6 WL7,,Straßenname1,Bezirk2,G3 Hausnr.4,,B5,WL6 WL7
Falkenseer Chaussee,Span,W 218 A,,F,einfach  D,,Falkentaler Steig,Rein,W 76 B,,G,gut * D
Falkenseer Chaussee,Span,W 219,,F,einfach * D,,Falkentaler Steig,Rein,W 78,,G,gut  D
Falkenseer Chaussee,Span,W 219 A,,F,einfach  D,,Falkentaler Steig,Rein,W 78 A,,G,gut * D
Falkenseer Chaussee,Span,W 221,- 222,F,einfach * D,,Falkentaler Steig,Rein,W 80,,G,gut  D
Falkenseer Chaussee,Span,W 223,,F,einfach  D,,Falkentaler Steig,Rein,W 80 A,,G,gut * D
Falkenseer Chaussee,Span,W 223 A,- 228,F,einfach * D,,Falkentaler Steig,Rein,W 82,- 84,G,gut  D
Falkenseer Chaussee,Span,W 228 A,- 229,F,einfach  D,,Falkentaler Steig,Rein,W 84 A,,G,gut * D
Falkenseer Chaussee,Span,W 229 A,- 233 A,F,einfach * D,,Falkentaler Steig,Rein,W 86,- 94,G,gut  D
Falkenseer Chaussee,Span,W 233 B,,F,einfach  D,,Falkentaler Steig,Rein,W 96,- 96 A,G,gut * D
Falkenseer Chaussee,Span,W 236,- 241,F,einfach * D,,Falkentaler Steig,Rein,W 98,,G,gut  D
Falkenseer Chaussee,Span,W 242,,F,einfach  D,,Falkentaler Steig,Rein,W 98 A,- 98 B,G,gut * D
Falkenseer Chaussee,Span,W 242 A,- 242 E,F,einfach * D,,Falkentaler Steig,Rein,W 100,- 126,G,gut  D
Falkenseer Chaussee,Span,W 243,- 247,F,einfach  D,,Falkentaler Steig,Rein,W 128,,G,gut * D
Falkenseer Chaussee,Span,W 247 A,- 247 D,F,einfach * D,,Falkentaler Steig,Rein,W 130,- 144,G,gut  D
Falkenseer Chaussee,Span,W 248,- 252,F,einfach  D,,Falkoniergasse,Mitt,O,,K,gut Z
Falkenseer Chaussee,Span,W 252 A,- 252 B,F,einfach * D,,Falkplatz,Pank,O,,K,mittel Z
Falkenseer Chaussee,Span,W 253,- 256,F,einfach  D,,Falkstätter Straße,MaHe,O,,K,einfach  D
Falkenseer Chaussee,Span,W 257,- 266,F,einfach * D,,Falkstraße,Neuk,W,,K,einfach Z
Falkenseer Chaussee,Span,W 266 A,,F,einfach  D,,Falstaffweg,Span,W 1,- 55,U,mittel  D
Falkenseer Chaussee,Span,W 267,- 271,F,einfach * D,,Falstaffweg,Span,W 2 A,- 54,G,mittel  D
Falkenseer Chaussee,Span,W 271 A,- 271 C,F,einfach  D,,Falstaffweg,Span,W 56,- 62 A,G,einfach  D
Falkenseer Chaussee,Span,W 272,- 275,F,einfach * D,,Falstaffweg,Span,W 57,- 61,U,einfach  D
Falkenseer Chaussee,Span,W 275 A,- 275 E,F,einfach  D,,Falstaffweg,Span,W 63,,U,einfach * D
Falkenseer Chaussee,Span,W 276,,F,einfach * D,,Falterweg,ChWi,W 1,- 3,U,gut * D
Falkenseer Chaussee,Span,W 276 A,- 276 E,F,einfach  D,,Falterweg,ChWi,W 5,- 37,U,gut  D
Falkenseer Chaussee,Span,W 277,,F,einfach * D,,Falterweg,ChWi,W 20,- 38,G,gut  D
