Bordeauxstraße,Pank O,,K,mittel,Brahmsstraße,TSch W,,K,gut
Borgfelder Steig,Rein W,,K,mittel,Braillestraße,StZe W,,K,gut
Borggrevestraße,Rein W,,K,einfach,Bramwaldweg,Span W,,K,einfach
Borgmannstraße,TrKö O,,K,mittel,Brandaustraße,TSch W,,K,einfach
Borgsdorfer Straße,Rein W,,K,mittel,Brandenburgische Straße,ChWi W,1 - 2,F,gut
Boris-Pasternak-Weg,Pank O,,K,gut,Brandenburgische Straße,ChWi W,3 - 4,F,mittel
Borkener Weg,Rein W,,K,mittel,Brandenburgische Straße,ChWi W,6 - 15 A,F,gut
Borkheider Straße,MaHe O,,K,einfach,Brandenburgische Straße,ChWi W,16 - 18,F,mittel
Borkumer Straße,ChWi W,,K,gut,Brandenburgische Straße,ChWi W,20 - 45,F,gut
Borkumer Straße,Span W,,K,einfach,Brandenburgische Straße,ChWi W,46 - 87,F,mittel
Borkumstraße,Pank O,,K,mittel,Brandenburgische Straße,StZe W,,K,mittel
Borkzeile,Span W,,K,einfach,Brandensteinweg,Span W,,K,mittel
Bornaer Straße,Neuk W,,K,mittel,Brandesstraße,FrKr W,,K,einfach
Bornemannstraße,Mitt W,,K,einfach,Brandorfer Weg,MaHe O,,K,mittel
Bornepfad,Rein W,,K,mittel,Brandtstraße,Rein W,,K,mittel
Borner Straße,Lich O,,K,einfach,Branitzer Karree,MaHe O,,K,mittel
Börnestraße,Pank O,,K,mittel,Branitzer Platz,ChWi W,,K,gut
Bornhagenweg,TSch W,,K,einfach,Branitzer Straße,MaHe O,,K,mittel
Bornholmer Straße,Mitt W,,K,einfach,Brascheweg,Lich O,,K,mittel
Bornholmer Straße,Pank O,,K,mittel,Braschzeile,StZe W,,K,gut
Börnicker Straße,Span W,,K,einfach,Brassenpfad,TrKö O,,K,mittel
Bornimer Straße,ChWi W,,K,mittel,Bratringweg,Span W,,K,einfach
Bornitzstraße,Lich O,,K,mittel,Bratvogelweg,Pank O,,K,mittel
Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
Brauereihof,Span W,,K,einfach,Brinkmannstraße,StZe W,,K,mittel
Brauerplatz,StZe W,,K,mittel,Bristolstraße,Mitt W,,K,einfach
Brauerstraße,StZe W,1 - 20,F,gut,Brittendorfer Weg,StZe W,,K,gut
Brauerstraße,StZe W,22 - 37,F,mittel,Britzer Damm,Neuk W,,K,einfach
Brauhausstraße,Pank O,,K,mittel,Britzer Straße,TrKö O,,K,mittel
Brauhofstraße,ChWi W,,K,mittel,Britzer Straße,TSch W,1 - 15,U,einfach
Braunbärenweg,MaHe O,,K,mittel,Britzer Straße,TSch W,2 - 46,G,einfach
Braunellensteig,TrKö O,,K,einfach,Britzer Straße,TSch W,17 - 101,U,mittel
Braunfelsstraße,TSch W,,K,mittel,Britzer Straße,TSch W,52 - 94,G,mittel
Braunlager Straße,Neuk W,,K,einfach,Britzkestraße,Neuk W,,K,einfach
Braunschweiger Straße,Neuk W,,K,einfach,Brixener Straße,Pank O,,K,mittel
Braunsdorfstraße,MaHe O,,K,mittel,Brixplatz,ChWi W,1 - 15,U,gut
Brausensteinweg,Pank O,,K,einfach,Brixplatz,ChWi W,2 - 8,G,mittel
Brebacher Weg,MaHe O,,K,mittel,Brockenweg,Pank O,,K,mittel
Breckerfelder Pfad,Rein W,,K,mittel,Brodauer Straße,MaHe O,,K,mittel
Breddiner Weg,Span O,,K,einfach,Brodenbacher Weg,Pank O,,K,mittel
Bredereckstraße,MaHe O,,K,mittel,Brodersenstraße,Rein W,,K,einfach
Bredowstraße,Mitt W,,K,einfach,Brodowiner Ring,MaHe O,,K,einfach
Bredtschneiderstraße,ChWi W,,K,mittel,Brombeerweg,ChWi W,,K,mittel
Breestpromenade,TrKö O,,K,gut,Bromelienweg,Pank O,,K,mittel
Bregenzer Straße,ChWi W,,K,gut,Bröndbystraße,StZe W,,K,mittel
Brehmestraße,Pank O,,K,mittel,Brontëweg,ChWi W,,K,gut
Brehmstraße,Lich O,,K,mittel,Brook-Taylor-Straße,TrKö O,,K,mittel
Breisacher Straße,StZe W,,K,gut,Brösener Straße,TrKö O,,K,mittel
Breisgauer Straße,StZe W,,K,gut,Brotteroder Straße,StZe W,,K,mittel
Breitachzeile,Rein W,,K,mittel,Bruchgrabenweg,MaHe O,,K,mittel
Breite Straße,ChWi W,,K,gut,Bruchsaler Straße,ChWi W,,K,gut
Breite Straße,Mitt O,,K,gut,Bruchsaler Straße,MaHe O,,K,mittel
Breite Straße,Pank O,2 - 9 A,F,mittel,Bruchwitzstraße,StZe W,1 - 5,U,mittel
Breite Straße,Pank O,11 - 24,F,gut,Bruchwitzstraße,StZe W,2 - 6,G,mittel
Breite Straße,Pank O,24 A - 26 B,F,mittel,Bruchwitzstraße,StZe W,7 - 19,U,gut
Breite Straße,Pank O,28 - 31 J,F,gut,Bruchwitzstraße,StZe W,12 - 12 A,G,gut
Breite Straße,Pank O,32 - 36,F,mittel,Bruchwitzstraße,StZe W,14 - 28,G,mittel
Breite Straße,Pank O,37,F,gut,Bruchwitzstraße,StZe W,23 - 29 C,U,mittel
Breite Straße,Pank O,38 - 50,F,mittel,Bruchwitzstraße,StZe W,30 - 40,G,gut
Breite Straße,Span W,,K,einfach,Bruchwitzstraße,StZe W,31 - 43,U,gut
Breite Straße,StZe W,,K,mittel,Brückenstraße,Mitt O,,K,mittel
Breitehornweg,Span W,,K,gut,Brückenstraße,StZe W,,K,gut
Breitenbachplatz,ChWi W,,K,gut,Brückenstraße (Niesw),TrKö O,,K,mittel
Breitenbachplatz,StZe W,,K,gut,Brückenstraße (Rahnd),TrKö O,,K,mittel
Breitenbachstraße,Rein W,,K,einfach,Brucknerstraße,StZe W,1 - 55,U,mittel
Breitenfelder Straße,MaHe O,,K,mittel,Brucknerstraße,StZe W,2 - 50,G,mittel
Breitensteinweg,StZe W,,K,mittel,Brucknerstraße,StZe W,54,G,gut
Breiter Weg,TrKö O,,K,mittel,Brüder-Grimm-Gasse,Mitt W,,K,gut
Breites Fenn,TrKö O,,K,mittel,Brüderstraße,Mitt O,,K,gut
Breitkopfstraße,Rein W,,K,einfach,Brüderstraße,Span W,,K,einfach
Breitunger Weg,Neuk W,,K,einfach,Brüderstraße,StZe W,,K,gut
Brekowweg,Lich O,,K,mittel,Brüggemannstraße,TSch W,,K,mittel
Bremer Straße,MaHe O,,K,mittel,Brümmerstraße,StZe W,,K,gut
Bremer Straße,Mitt W,,K,einfach,Brunhildstraße,TSch W,,K,mittel
Bremer Straße,StZe W,,K,mittel,Brunnenkresseweg,Pank O,,K,einfach
Brennerstraße,Pank O,,K,mittel,Brunnenplatz,Mitt W,,K,einfach
Brentanostraße,StZe W,,K,gut,Brunnenstraße,Mitt O,1 - 46,F,gut
Brester Ring,Pank O,,K,mittel,Brunnenstraße,Mitt O,47 - 49,F,mittel
Bretagneweg,Pank O,,K,einfach,Brunnenstraße,Mitt W,53 - 136,F,einfach
Brettnacher Straße,StZe W,1,U,mittel,Brunnenstraße,Mitt O,138 - 145,F,mittel
Brettnacher Straße,StZe W,12 - 28,G,gut,Brunnenstraße,Mitt O,146 - 198,F,gut
Brettnacher Straße,StZe W,13 - 29,U,gut,Brünnhildestraße,TSch W,,K,gut
Breubergweg,Span W,,K,mittel,Bruno-Apitz-Straße,Pank O,,K,einfach
Brieger Straße,StZe W,,K,mittel,Bruno-Bauer-Straße,Neuk W,,K,einfach
Brienner Straße,ChWi W,,K,mittel,Bruno-Baum-Straße,MaHe O,1 - 83,U,einfach
Brienzer Straße,Mitt W,,K,einfach,Bruno-Baum-Straße,MaHe O,22 - 60,G,einfach
Brienzer Straße,Rein W,,K,einfach,Bruno-Baum-Straße,MaHe O,72,G,mittel
Brieselangweg,Span W,,K,mittel,Bruno-Baum-Straße,MaHe O,76,G,einfach
Briesener Weg,MaHe O,3 - 189,U,mittel,Bruno-Bürgel-Weg,TrKö O,1 - 139,U,mittel
Briesener Weg,MaHe O,4 - 32,G,mittel,Bruno-Bürgel-Weg,TrKö O,12 - 70,G,mittel
Briesener Weg,MaHe O,40 - 92,G,gut,Bruno-Bürgel-Weg,TrKö O,94 - 144,G,einfach
Briesener Weg,MaHe O,96 - 190,G,mittel,Bruno-Bürgel-Weg,TrKö O,149 - 151,U,einfach
Briesestraße,Neuk W,,K,einfach,Brunolfweg,TrKö O,,K,mittel
Briesingstraße,TSch W,,K,mittel,Bruno-Möhring-Straße,TSch W,,K,einfach
Brigittenstraße,StZe W,,K,mittel,Bruno-Taut-Ring,Neuk W,,K,einfach
Brigittenweg,TrKö O,,K,einfach,Bruno-Taut-Straße,TrKö O,,K,mittel
Brigitte-Reimann-Straße,MaHe O,,K,einfach,Bruno-Walter-Straße,StZe W,,K,gut
Briloner Weg,StZe W,,K,mittel,Bruno-Wille-Straße,TrKö O,,K,gut
Straßenname1,Bezirk2 G3 Hausnr.4,,B5,WL6,Straßenname1,Bezirk2 G3 Hausnr.4,,B5,WL6
Brunowstraße,Rein W 2,- 17,F,mittel,Bühringstraße,Pank O,,K,mittel
Brunowstraße,Rein W 18,- 42,F,gut,Buhrowstraße,StZe W,,K,mittel
Brunowstraße,Rein W 45,- 62,F,mittel,Bukesweg,TrKö O,,K,einfach
Brunsbütteler Damm,Span W 1,- 259,U,einfach,Bulgarische Straße,TrKö O 9,- 55,U,einfach
Brunsbütteler Damm,Span W 4,- 224,G,einfach,Bulgarische Straße,TrKö O 56,- 60,G,gut
Brunsbütteler Damm,Span W 226,- 310,G,mittel,Bulgenbachweg,Rein W,,K,gut
Brunsbütteler Damm,Span W 261,- 275,U,mittel,Büllinger Straße,MaHe O,,K,mittel
Brunsbütteler Damm,Span W 281,- 365,U,einfach,Bülowstraße,FrKr W,,K,einfach
Brunsbütteler Damm,Span W 312,- 358 C,G,einfach,Bülowstraße,StZe W,,K,gut
Brunsbütteler Damm,Span O 401,- 451,U,einfach,Bülowstraße,TSch W,,K,einfach
Brunsbütteler Damm,Span O 412,- 456,G,einfach,Bültenring,MaHe O,,K,mittel
Brunswickenweg,Pank O 1,- 13,U,einfach,Bundenbacher Weg,Pank O,,K,mittel
Brunswickenweg,Pank O 4,- 28,G,einfach,Bundesallee,ChWi W,,K,gut
Brunswickenweg,Pank O 17,- 27,U,mittel,Bundesallee,TSch W,,K,gut
Brusebergstraße,Rein W,,K,einfach,Bundesplatz,ChWi W,,K,gut
Brusendorfer Straße,Neuk W,,K,einfach,Bundesratufer,Mitt W 2,- 5,F,gut
Brussaer Weg,TSch W 1,- 29,U,einfach,Bundesratufer,Mitt W 6,- 13,F,mittel
Brussaer Weg,TSch W 2,- 44,G,mittel,Bundesring,TSch W,,K,mittel
Brussaer Weg,TSch W 37,- 45,U,mittel,Bundesstraße 2,Lich O 4,- 10,G,mittel
Brüsseler Straße,Mitt W,,K,einfach,Bundesstraße 2,Lich O 20,,G,einfach
Buchberger Straße,Lich O 2,- 12,G,einfach,Bundschuhweg,Rein W,,K,gut
Buchberger Straße,Lich O 5,- 35,U,mittel,Bunsenstraße,Mitt O,,K,gut
Buchberger Straße,Lich O 28,- 46,G,mittel,Buntspechtstraße,Rein W,,K,mittel
Buchbinderweg,Neuk W,,K,mittel,Buntsteinweg,Pank O,,K,einfach
Büchenbronner Steig,Rein W,,K,mittel,Buntzelstraße,TrKö O 1,- 67,U,einfach
Buchenhainer Straße,MaHe O,,K,mittel,Buntzelstraße,TrKö O 2,- 14,G,mittel
Buchenstraße,MaHe O,,K,mittel,Buntzelstraße,TrKö O 18,- 52,G,einfach
Buchenweg,Span W,,K,mittel,Buntzelstraße,TrKö O 56,- 146,G,mittel
Bucher Chaussee,Pank O,,K,mittel,Buntzelstraße,TrKö O 71,- 143,U,mittel
Bucher Straße,Pank O 3,- 19,F,mittel,Bunzlauer Straße,Pank O,,K,mittel
Bucher Straße,Pank O 20,- 23 D,F,einfach,Buolstraße,Span W,,K,mittel
Bucher Straße,Pank O 24,- 45,F,mittel,Burbacher Weg,Span W,,K,einfach
Buchfinkweg,Neuk W 1,- 29,U,einfach,Burchardstraße,TSch W,,K,mittel
Buchfinkweg,Neuk W 2,- 30,G,einfach,Burgemeisterstraße,TSch W,,K,mittel
Buchfinkweg,Neuk W 33,- 63,U,mittel,Bürgerheimstraße,Lich O,,K,einfach
Buchfinkweg,Neuk W 36,- 58,G,mittel,Bürgersruh,Rein W,,K,mittel
Buchholzer Straße (Blanf),Pank O 1,- 29 A,U,einfach,Bürgerstraße,Neuk W,,K,einfach
Buchholzer Straße (Blanf),Pank O 6,- 28,G,einfach,Bürgerstraße,Rein W,,K,einfach
Buchholzer Straße (Blanf),Pank O 44,- 140,G,mittel,Burgfrauenstraße,Rein W 3,- 111 C,U,gut
Buchholzer Straße (Blanf),Pank O 59,- 75,U,mittel,Burgfrauenstraße,Rein W 60,- 96 A,G,gut
Buchholzer Straße (Nieds),Pank O 1,- 36,F,mittel,Burgfrauenstraße,Rein W 106,- 134,G,mittel
Buchholzer Straße (Nieds),Pank O 45,,F,einfach,Burgfrauenstraße,Rein W 115,- 133,U,mittel
Buchholzer Straße (Nieds),Pank O 47,- 103,F,mittel,Burggrafenstraße,MaHe O 1,- 1 A,F,mittel
Buchholzer Straße (Prenz),Pank O,,K,gut,Burggrafenstraße,MaHe O 3,- 9,F,gut
Buchholzweg,ChWi W,,K,einfach,Burggrafenstraße,MaHe O 10,- 13,F,mittel
Buchhorster Straße,Pank O,,K,mittel,Burggrafenstraße,MaHe O 14,- 33 A,F,gut
Büchnerweg,Pank O,,K,mittel,Burggrafenstraße,MaHe O 33 B,- 35,F,mittel
Büchnerweg,TrKö O,,K,mittel,Burggrafenstraße,Mitt W,,K,mittel
Buchsbaumweg,Neuk W,,K,mittel,Burghardweg,MaHe O,,K,einfach
Büchsenweg,Rein W,,K,einfach,Burgherrenstraße,TSch W,,K,mittel
Buchsteinweg,TSch W,,K,mittel,Bürgipfad,StZe W,,K,mittel
Buchstraße,Mitt W,,K,einfach,Burgsdorfstraße,Mitt W,,K,einfach
Buchsweilerstraße,StZe W,,K,gut,Burgstraße,Mitt O,,K,gut
Buchwaldzeile,Span W,,K,mittel,Burgunder Straße,ChWi W,,K,gut
Buckower Chaussee,TSch W 3,- 58,F,mittel,Burgunder Straße,StZe W,,K,gut
Buckower Chaussee,TSch W 59,- 75,F,einfach,Burgwallstraße,Pank O,,K,mittel
Buckower Chaussee,TSch W 76,- 84 C,F,mittel,Buriger Weg,TrKö O,,K,einfach
Buckower Chaussee,TSch W 85,- 102 B,F,einfach,Bürknersfelder Straße,Lich O 4,- 10,F,mittel
Buckower Chaussee,TSch W 104,- 162,F,mittel,Bürknersfelder Straße,Lich O 15,,F,einfach
Buckower Damm,Neuk W,,K,einfach,Bürknerstraße,Neuk W 1,- 11,F,mittel
Buckower Ring,MaHe O,,K,mittel,Bürknerstraße,Neuk W 12,- 24 A,F,einfach
Buckower Weg,Neuk W,,K,einfach,Bürknerstraße,Neuk W 25,- 32,F,mittel
Budapester Straße,ChWi W,,K,gut,Burscheider Weg,Span W,,K,einfach
Budapester Straße,Mitt W 1,- 13,U,mittel,Bürstadter Weg,StZe W,,K,gut
Budapester Straße,Mitt W 2,- 36,G,gut,Buschallee,Pank O,,K,mittel
Budapester Straße,Mitt W 15,- 35,U,gut,Buschgrabenweg,StZe W,,K,mittel
Buddestraße,Pank O,,K,gut,Buschhüttener Weg,Span W,,K,einfach
Buddestraße,Rein W,,K,mittel,Buschiner Straße,MaHe O,,K,mittel
Büdnerring,Rein W,,K,einfach,Büschingstraße,FrKr O,,K,mittel
Budsiner Straße,MaHe O,,K,mittel,Buschkrugallee,Neuk W 2,- 158,G,einfach
Bugenhagenstraße,Mitt W,,K,einfach,Buschkrugallee,Neuk W 7,- 123,U,einfach
Buggenhagenstraße,Lich O,,K,mittel,Buschkrugallee,Neuk W 131,- 221,U,mittel
Buggestraße,StZe W,,K,gut,Buschkrugallee,Neuk W 164,- 212,G,mittel
Bühler Weg,Neuk W,,K,einfach,Buschkrugallee,Neuk W 223,- 247,U,einfach
Straßenname1,Bezirk2 G3 Hausnr.4,,B5,WL6,Straßenname1,Bezirk2 G3 Hausnr.4,,B5,WL6
Buschkrugallee,Neuk W 224,- 228,G,einfach,Cecilienstraße,MaHe O 166,- 244,G,mittel
Buschkrugallee,Neuk W 238,- 252,G,mittel,Cecilienstraße,MaHe O 223,- 243,U,mittel
Buschower Weg,Span O 1,- 13,U,einfach,Cecilienstraße,StZe W,,K,mittel
Buschower Weg,Span O 4,- 14,G,einfach,Cecilienstraße,TSch W,,K,mittel
Buschower Weg,Span O 15,- 95,U,mittel,Cedernstraße,TrKö O,,K,mittel
Buschower Weg,Span O 18,- 94,G,mittel,Celsiusstraße,StZe W 3,- 57,U,mittel
Buschrosenplatz,Neuk W,,K,einfach,Celsiusstraße,StZe W 4,- 38,G,mittel
Buschrosensteig,Neuk W,,K,einfach,Celsiusstraße,StZe W 40,- 72,G,einfach
Buschsperlingweg,Pank O,,K,einfach,Celsiusstraße,StZe W 69,- 73,U,einfach
Buschwindröschenweg,TrKö O,,K,mittel,Centweg,Pank O,,K,mittel
Büsingstraße,TSch W,,K,gut,César-Franck-Straße,Pank O,,K,mittel
Busonistraße,Pank O,,K,mittel,Cevennenstraße,Pank O,,K,mittel
Bussardsteig,StZe W,,K,gut,Chamierstraße,Lich O,,K,mittel
Busseallee,StZe W,,K,gut,Chamissoplatz,FrKr W,,K,mittel
Büssower Weg,Rein W,,K,mittel,Chamissostraße,Pank O,,K,mittel
Büsumer Pfad,Rein W,,K,mittel,Chamissostraße,Span W,,K,mittel
Bütower Straße,MaHe O,,K,gut,Champagneweg,Pank O,,K,mittel
Buttenstedtweg,TrKö O,,K,gut,Champignonstraße,TrKö O,,K,einfach
Butterblumensteig,MaHe O,,K,mittel,Chantiéweg,Pank O,,K,mittel
Buttmannstraße,Mitt W,,K,einfach,Charitéplatz,Mitt O,,K,gut
Büxensteinallee,TrKö O,,K,mittel,Charitéstraße,Mitt O,,K,gut
Byronweg,ChWi W,,K,gut,Charles-Corcelle-Ring,Mitt W,,K,einfach
"",,,,,Charles-H.-King-Straße,StZe W,,K,gut
C,,,,,Charles-Lindbergh-Straße,Span W,,K,mittel
Cafeastraße,Neuk W,,K,einfach,Charlotte-E.-Pauly-Straße,TrKö O,,K,gut
Cajamarcaplatz,TrKö O,,K,mittel,Charlottenbrunner Straße,ChWi W 1,- 43 A,F,gut
Calandrellistraße,StZe W,,K,mittel,Charlottenbrunner Straße,ChWi W 44,- 46,F,mittel
Caligariplatz,Pank O,,K,mittel,Charlottenburger Chaussee,ChWi W,,K,mittel
Calvinstraße,Mitt W,,K,mittel,Charlottenburger Chaussee,Span W 4,- 30,G,mittel
Calvinstraße,Rein W,,K,mittel,Charlottenburger Chaussee,Span W 19,- 125,U,einfach
Cambridger Straße,Mitt W,,K,einfach,Charlottenburger Chaussee,Span W 78,- 108,G,einfach
Campestraße,Rein W,,K,gut,Charlottenburger Straße,Pank O 1,- 10,F,gut
Camphausenstraße,StZe W 1,- 11,U,mittel,Charlottenburger Straße,Pank O 11,- 140,F,mittel
Camphausenstraße,StZe W 2,- 38 A,G,mittel,Charlottenburger Straße,Pank O 141,- 142,F,gut
Camphausenstraße,StZe W 15,- 25,U,gut,Charlottenburger Straße,StZe W,,K,gut
Camphausenstraße,StZe W 40,- 44 E,G,gut,Charlottenburger Ufer,ChWi W,,K,mittel
Canovastraße,TSch W,,K,mittel,Charlottenstraße,FrKr W,,K,einfach
Cantalweg,Pank O,,K,mittel,Charlottenstraße,Lich O,,K,einfach
Cantianstraße,Pank O,,K,gut,Charlottenstraße,MaHe O,,K,mittel
Cantorsteig,TSch W 1,- 13,U,einfach,Charlottenstraße,Mitt O,,K,gut
Cantorsteig,TSch W 2,- 16,G,mittel,Charlottenstraße,Pank O,,K,mittel
Cardinalplatz,TrKö O,,K,gut,Charlottenstraße,Span W,,K,einfach
Cardinalstraße,TrKö O 2,- 14,G,mittel,Charlottenstraße,TrKö O,,K,mittel
Cardinalstraße,TrKö O 5,- 27,U,gut,Charlottenstraße,TSch W,,K,mittel
Cardinalstraße,TrKö O 16,- 26,G,gut,Charlottenstraße (Lankw),StZe W 2,- 8,G,mittel
Carionweg,ChWi W,,K,mittel,Charlottenstraße (Lankw),StZe W 7,- 23 A,U,gut
Carl-Heinrich-Becker-Weg,StZe W,,K,gut,Charlottenstraße (Lankw),StZe W 12,- 28,G,gut
Carl-Herz-Ufer,FrKr W 1,- 33,U,mittel,Charlottenstraße (Lankw),StZe W 25,- 65,U,mittel
Carl-Herz-Ufer,FrKr W 30,- 34,G,gut,Charlottenstraße (Lankw),StZe W 34,- 64,G,mittel
Carl-Scheele-Straße,TrKö O,,K,mittel,Charlottenstraße (Wanns),StZe W,,K,gut
Carl-Schurz-Straße,Span W,,K,einfach,Charlotte-Salomon-Hain,Lich O,,K,mittel
Carl-Spindler-Straße,TrKö O,,K,mittel,Charlotte-von-Mahlsdorf-Ring,MaHe O,,K,mittel
Carl-Steffeck-Straße,TSch W,,K,einfach,Chartronstraße,Pank O,,K,mittel
Carmerstraße,ChWi W,,K,gut,Chaukenstraße,TrKö O,,K,mittel
Carnotstraße,ChWi W,,K,einfach,Chausseestraße,Mitt O 1,- 14,F,gut
Carola-Neher-Straße,MaHe O,,K,einfach,Chausseestraße,Mitt O 15,- 43,F,mittel
Caroline-Michaelis-Straße,Mitt O,,K,mittel,Chausseestraße,Mitt O 44,- 55,F,gut
Caroline-von-Humboldt-Weg,Mitt O,,K,gut,Chausseestraße,Mitt O 56,- 61,F,mittel
Carpinusweg,StZe W,,K,gut,Chausseestraße,Mitt W 68,- 76,F,einfach
Carstennstraße,StZe W,,K,mittel,Chausseestraße,Mitt O 84,- 111,F,mittel
Cäsarstraße,Lich O,,K,gut,Chausseestraße,Mitt O 116,- 131 B,F,gut
Caseler Straße,Pank O,,K,mittel,Chausseestraße,StZe W,,K,gut
Caspar-Theyß-Straße,ChWi W,,K,gut,Chemnitzer Straße,MaHe O,,K,mittel
Cassinohof,StZe W,,K,gut,Cheruskerstraße,TSch W,,K,mittel
Catostraße,TSch W,,K,einfach,Chiemseestraße,TrKö O,,K,mittel
Cauerstraße,ChWi W,,K,mittel,Chiliweg,Pank O,,K,mittel
Cautiusstraße,Span W,,K,mittel,Chlodwigstraße,TSch W,,K,mittel
Cecilienallee,Rein W,,K,gut,Chlumer Straße,StZe W 1,,F,gut
Ceciliengärten,TSch W,,K,gut,Chlumer Straße,StZe W 3,- 4,F,mittel
Cecilienplatz,MaHe O,,K,mittel,Chodowieckistraße,Pank O,,K,gut
Cecilienstraße,MaHe O 1,- 113,U,mittel,Chopinstraße,Pank O,,K,mittel
Cecilienstraße,MaHe O 2,- 92,G,mittel,Choriner Straße,Mitt O,,K,gut
Cecilienstraße,MaHe O 141,- 197,U,einfach,Choriner Straße,Pank O,,K,gut
Cecilienstraße,MaHe O 164,,G,einfach,Chorweilerstraße,TrKö O,,K,einfach
Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
Chris-Gueffroy-Allee,Neuk W,,K,einfach,Cosmarweg,Span W,6 - 58,G,einfach
Chris-Gueffroy-Allee,TrKö O,,K,einfach,Cosmarweg,Span W,64 - 126,G,mittel
Christburger Straße,Pank O,,K,gut,Cosmarweg,Span W,71 - 135,U,mittel
Christelweg,MaHe O,,K,einfach,Coswiger Straße,MaHe O,,K,einfach
Christian-Dohm-Weg,Lich O,,K,einfach,Cotheniusstraße,Pank O,,K,mittel
Christian-Henkel-Straße,Neuk W,,K,einfach,Cottastraße,Pank O,,K,gut
Christianstraße,Lich O,,K,einfach,Cottbusser Platz,MaHe O,,K,einfach
Christinenstraße,Pank O,,K,gut,Cottbusser Straße,MaHe O,2 - 92,G,einfach
Christoph-Kolumbus-Straße,Span W,,K,mittel,Cottbusser Straße,MaHe O,21 - 79,U,einfach
Christoph-Ruden-Straße,Neuk W,,K,einfach,Cottbusser Straße,MaHe O,81 - 83,U,mittel
Christophstraße,Lich O,,K,einfach,Courbièrestraße,TSch W,,K,mittel
Christrosensteig,Span O,,K,einfach,Crailsheimer Straße,StZe W,,K,mittel
Christstraße,ChWi W,,K,mittel,Cranachstraße,TSch W,,K,mittel
Chrysanthemenstraße,Pank O,,K,einfach,Creienfelder Weg,Rein W,,K,mittel
Churer Zeile,StZe W,,K,mittel,Crellestraße,TSch W,2 - 22 B,F,mittel
Cicerostraße,ChWi W,2 - 10,F,gut,Crellestraße,TSch W,23 - 24,F,gut
Cicerostraße,ChWi W,13 - 48,F,mittel,Crellestraße,TSch W,25 - 48,F,mittel
Cicerostraße,ChWi W,49 - 63,F,gut,Criegernweg,Lich O,,K,einfach
Cimbernstraße,StZe W,,K,gut,Criolloweg,Rein W,,K,mittel
Cimbernstraße,TrKö O,,K,mittel,Crivitzer Straße,Lich O,,K,einfach
Claire-Waldoff-Promenade,Mitt W,,K,einfach,Crusemarkstraße,Pank O,,K,gut
Claire-Waldoff-Straße,Mitt O,,K,gut,Crusiusstraße,ChWi W,,K,mittel
Clara-Grunwald-Straße,Lich O,,K,mittel,Culemeyerstraße,TSch W,,K,mittel
Clara-Jaschke-Straße,Mitt W,,K,gut,Cunistraße,Pank O,,K,mittel
Clara-Mleinek-Straße,Mitt W,,K,mittel,Cunostraße,ChWi W,1 - 28,F,gut
Clara-Müller-Jahnke-Straße,TrKö O,,K,einfach,Cunostraße,ChWi W,36 - 42,F,mittel
Clara-von-Simson-Straße,ChWi W,,K,einfach,Cunostraße,ChWi W,44 - 110,F,gut
Clara-Wieck-Straße,Mitt W,,K,gut,Cupetiussteinweg,Pank O,,K,einfach
Clara-Zetkin-Weg,MaHe O,,K,mittel,Currykrautweg,Pank O,,K,einfach
Claszeile,StZe W,2 - 38,G,gut,Curtiusstraße,StZe W,1 - 91,U,gut
Claszeile,StZe W,5 - 57,U,gut,Curtiusstraße,StZe W,4 - 78,G,gut
Claszeile,StZe W,40 - 86,G,mittel,Curtiusstraße,StZe W,80 - 110 A,G,mittel
Claszeile,StZe W,59 - 85,U,mittel,Curtiusstraße,StZe W,101 - 115,U,mittel
Claudiusstraße,Mitt W,,K,gut,Cuvrystraße,FrKr W,,K,mittel
Clauertstraße,StZe W,,K,mittel,Cuxhavener Straße,Mitt W,,K,mittel
Clausewitzstraße,ChWi W,,K,gut,Cyanenstraße,Pank O,,K,einfach
Clayallee,ChWi W,,K,gut,Cyclopstraße,Rein W,,K,mittel
Clayallee,StZe W,,K,gut,Czarnikauer Straße,Pank O,,K,mittel
Clematisweg,Pank O,,K,mittel,Czeminskistraße,TSch W,,K,mittel
Clémentweg,Pank O,,K,mittel,,,,,
Coesfelder Weg,Rein W,,K,mittel,D,,,,
Cohnstraße,Pank O,,K,mittel,Daberkowstraße,Span W,,K,mittel
Colbestraße,FrKr O,1 - 15,U,mittel,Dachdeckerweg,Neuk W,,K,einfach
Colbestraße,FrKr O,2 - 34,G,gut,Dacheroedenstraße,Rein W,,K,gut
Colbestraße,FrKr O,19 - 35,U,gut,Dachsberg,ChWi W,,K,gut
Colditzstraße,TSch W,,K,einfach,Dachsteinweg,TSch W,,K,mittel
Colmarer Weg,StZe W,,K,gut,Dädaluspfad,Span W,,K,mittel
Colomierstraße,StZe W,,K,gut,Daffingerweg,MaHe O,,K,mittel
Coloniaallee,TrKö O,,K,einfach,Dagobert-Wiesmüller-Platz,TrKö O,,K,einfach
Columbiadamm,FrKr W,,K,mittel,Daheimstraße,TrKö O,,K,mittel
Columbiadamm,Neuk W,111,U,mittel,Dahlemer Weg,StZe W,1 - 7,U,gut
